participant_id,side,phase,window_idx,window_start,window_end,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_median,temp_iqr,temp_skewness,temp_kurtosis,temp_slope,temp_mean_diff,temp_std_diff
MIT021,RIGHT,Baseline,0,2025-11-14T12:45:29.183260,2025-11-14T12:46:28.183334,28.541677393952167,0.05199935413524405,28.44496081394141,28.609198245556385,0.16423743161497484,28.556614257512294,0.08097321365247012,-0.5141465563382575,-1.024410703701048,0.0029399108352408023,0.002790043793558635,0.0015042166151028244
MIT021,RIGHT,Baseline,1,2025-11-14T12:45:59.183297,2025-11-14T12:46:58.183371,28.604801903768234,0.024585158712267827,28.55770534898882,28.654701961356924,0.09699661236810542,28.608095613127666,0.03367234747426551,-0.048909346642351866,-0.6415011402915072,0.0013951121112886935,0.0017327372286609726,0.001032024720492646
MIT021,RIGHT,Baseline,2,2025-11-14T12:46:29.183335,2025-11-14T12:47:28.183408,28.648451381235258,0.028302695630050667,28.608071081148413,28.70244106116104,0.09436998001262609,28.653477514050067,0.051162291561709594,0.11855259194060713,-1.1738062896537849,0.001618137109354721,0.0017635964992077345,0.001351672977276688
MIT021,RIGHT,Baseline,3,2025-11-14T12:46:59.183372,2025-11-14T12:47:58.183446,28.714354616358218,0.0477700116438175,28.653443512880656,28.80129255460075,0.14784904172009306,28.7039175220622,0.08500721288056212,0.3630478007209301,-1.2586183625323961,0.002718467043466942,0.002585843733798176,0.0014027992126953795
MIT021,RIGHT,Baseline,4,2025-11-14T12:47:29.183410,2025-11-14T12:48:28.183484,28.80860323372316,0.06114443251717548,28.70539398296336,28.912469933547868,0.20707595058450678,28.802838185646365,0.09853733115785701,0.06674334153857618,-1.1699777337329034,0.0035270291698301,0.003509761874313674,0.000897607059902612
MIT021,RIGHT,Baseline,5,2025-11-14T12:47:59.183448,2025-11-14T12:48:58.183521,28.924850839337715,0.07470575655594744,28.804383816691985,29.06521177374798,0.2608279570559944,28.91421067768124,0.12346769673933267,0.2136044661503624,-1.0933023535556636,0.00429778086918029,0.004420812831457532,0.0012133404032222198
MIT021,RIGHT,Baseline,6,2025-11-14T12:48:29.183485,2025-11-14T12:49:28.183559,29.073456941618915,0.09834029612969551,28.91595142181461,29.250432922317668,0.33448150050305614,29.067721882615416,0.17193514897249074,0.13764444589914582,-1.1890563827186469,0.00566998566904392,0.00566917797462807,0.0011520332035892492
MIT021,RIGHT,Baseline,7,2025-11-14T12:48:59.183522,2025-11-14T12:49:58.183596,29.25957892409153,0.11644267856564353,29.070231991482856,29.4605027738811,0.3902707823982432,29.254393974703238,0.19345325742403574,0.08149267620493063,-1.1991769647440327,0.006718859104520073,0.006614759023699037,0.0012951362608801904
MIT021,RIGHT,Baseline,8,2025-11-14T12:49:29.183560,2025-11-14T12:50:28.183634,29.457306320154512,0.11189423827882736,29.258355027088808,29.640788003165085,0.38243297607627724,29.46287954071863,0.19524742073168966,-0.09996162520119768,-1.215098834452125,0.006453723958600486,0.0064819148487504615,0.0012882231626732883
MIT021,RIGHT,Baseline,9,2025-11-14T12:49:59.183598,2025-11-14T12:50:58.183672,29.645198980688473,0.104510881952075,29.465256307556164,29.81696677163244,0.3517104640762767,29.64368759764651,0.18275890696162378,-0.04007049987499709,-1.2508007889314319,0.006031385568797594,0.005961194306377571,0.0008965966134556312
